MovementID	Date	ProductID	MovementType	Quantity	Location	Reference	Notes
MOV00001	2023-05-29	P045	Purchase	67	Store 1	REF4643	
MOV00002	2023-05-17	P006	Sale	41	Warehouse A	REF1909	Supplier issue
MOV00003	2024-06-04	P055	Adjustment	64	Store 1	REF6473	Regular operation
MOV00004	2023-02-05	P100	Return	-2	Store 1	REF8932	Supplier issue
MOV00005	2024-12-31	P008	Damaged	6	Store 2	REF8411	Quality check
MOV00006	2023-08-11	P050	Purchase	18	Warehouse B	REF5148	Supplier issue
MOV00007	2023-10-15	P011	Return	-27	Store 2	REF4668	Quality check
MOV00008	2024-09-22	P041	Adjustment	56	Warehouse A	REF5509	
MOV00009	2024-12-08	P021	Damaged	17	Warehouse B	REF7825	Customer return
MOV00010	2024-07-12	P044	Purchase	63	Online Fulfillment	REF3653	Supplier issue
MOV00011	2024-11-28	P047	Damaged	76	Store 2	REF4325	Regular operation
MOV00012	2024-02-01	P009	Return	50	Warehouse A	REF2311	Supplier issue
MOV00013	2024-11-16	P033	Purchase	46	Store 1	REF1420	Regular operation
MOV00014	2023-03-04	P094	Transfer	-11	Store 1	REF7755	
MOV00015	2023-07-27	P087	Return	59	Warehouse B	REF8309	
MOV00016	2023-09-13	P081	Transfer	71	Store 2	REF8840	Supplier issue
MOV00017	2023-12-03	P034	Purchase	-16	Warehouse B	REF5876	Supplier issue
MOV00018	2023-05-05	P037	Return	-21	Warehouse B	REF8400	Customer return
MOV00019	2024-11-05	P001	Sale	86	Warehouse B	REF7850	Customer return
MOV00020	2024-10-22	P099	Adjustment	37	Warehouse B	REF4649	Supplier issue
MOV00021	2024-05-05	P047	Adjustment	-5	Store 2	REF7059	Customer return
MOV00022	2023-12-16	P087	Return	-47	Warehouse B	REF5996	
MOV00023	2024-10-11	P066	Transfer	13	Online Fulfillment	REF8355	Customer return
MOV00024	2024-09-27	P046	Return	10	Store 2	REF5888	Quality check
MOV00025	2023-07-05	P088	Purchase	98	Store 1	REF8176	Regular operation
MOV00026	2023-12-06	P033	Return	76	Store 2	REF6866	
MOV00027	2024-12-26	P090	Sale	-48	Warehouse A	REF8675	Supplier issue
MOV00028	2024-12-08	P078	Sale	64	Warehouse A	REF5465	Quality check
MOV00029	2024-06-07	P070	Return	-13	Online Fulfillment	REF8384	Regular operation
MOV00030	2023-12-28	P099	Damaged	82	Warehouse B	REF5446	Customer return
MOV00031	2023-08-19	P004	Sale	99	Online Fulfillment	REF8637	Quality check
MOV00032	2024-07-16	P041	Return	19	Warehouse B	REF5592	Regular operation
MOV00033	2023-06-09	P079	Return	87	Warehouse A	REF5940	Supplier issue
MOV00034	2024-06-11	P068	Adjustment	92	Online Fulfillment	REF1766	
MOV00035	2024-12-30	P058	Adjustment	1	Store 1	REF3852	Supplier issue
MOV00036	2023-06-19	P040	Adjustment	69	Warehouse A	REF2825	Customer return
MOV00037	2024-04-01	P071	Adjustment	-1	Store 2	REF9798	Regular operation
MOV00038	2023-12-16	P053	Purchase	53	Warehouse B	REF2064	Supplier issue
MOV00039	2023-08-05	P049	Adjustment	-29	Warehouse B	REF9643	Supplier issue
MOV00040	2023-07-22	P009	Return	-45	Warehouse B	REF2234	
MOV00041	2024-12-08	P016	Adjustment	58	Store 2	REF2970	Supplier issue
MOV00042	2023-06-23	P040	Damaged	51	Online Fulfillment	REF9938	
MOV00043	2024-08-14	P083	Damaged	60	Store 2	REF7443	Quality check
MOV00044	2023-03-19	P065	Sale	-4	Store 1	REF8609	
MOV00045	2024-10-06	P081	Sale	-18	Store 1	REF9094	Supplier issue
MOV00046	2024-10-29	P071	Adjustment	62	Warehouse A	REF8468	Regular operation
MOV00047	2024-02-06	P057	Purchase	18	Online Fulfillment	REF6886	Supplier issue
MOV00048	2024-09-16	P019	Return	66	Online Fulfillment	REF7071	Quality check
MOV00049	2023-07-16	P041	Sale	78	Warehouse A	REF1424	
MOV00050	2023-07-13	P038	Purchase	7	Store 2	REF4918	Customer return
MOV00051	2023-12-16	P035	Sale	23	Store 2	REF2570	Regular operation
MOV00052	2023-12-21	P041	Transfer	-3	Warehouse B	REF2084	
MOV00053	2023-04-26	P073	Return	-29	Store 2	REF2508	
MOV00054	2023-01-02	P058	Purchase	61	Store 2	REF8735	Supplier issue
MOV00055	2024-11-14	P078	Sale	-21	Warehouse B	REF2592	Supplier issue
MOV00056	2023-11-01	P041	Sale	91	Warehouse B	REF4164	Supplier issue
MOV00057	2023-10-31	P021	Return	32	Warehouse A	REF4652	Customer return
